X;Y;Z;Pitch;Yaw;Roll;Time
7230.0;6640.0;91.2;0.0;170.0;0.0;0.1;
7112.6;6444.8;91.2;0.0;170.0;0.0;1.0;
7114.3;6440.4;93.3;0.0;170.0;0.0;2.1;
7112.3;6441.5;92.9;0.0;170.0;0.0;3.0;
7113.1;6443.2;92.2;0.0;170.0;0.0;4.0;
7112.6;6442.8;92.2;0.0;170.0;0.0;5.0;
7110.0;6443.4;91.1;0.0;170.0;0.0;6.0;
7110.2;6445.0;90.6;0.0;170.0;0.0;7.1;
7110.3;6444.9;92.0;0.0;170.0;0.0;8.1;
7110.8;6448.4;90.3;0.0;170.0;0.0;9.0;
7110.8;6448.0;90.3;0.0;170.0;0.0;10.0;
